Produkt,N,Snitt,Std,Min,Q1,Median,Q3,Maks,CV%
Terrassebord (28x120),116,581.4,557.6,0.0,156.6,418.6,845.1,3140.1,96%
Planke (48x98),116,1177.1,817.6,0.0,698.3,1003.5,1526.8,4914.5,69%
"Terrasseskrue (4,2x55)",116,4.6,4.5,0.0,1.0,3.5,6.0,23.0,99%
Skrue 5x90,116,6.2,8.0,0.0,2.0,4.0,6.2,53.0,129%
