Produkt,L,μ,σ_d,σ_L,SS,ROP,Q*
Terrassebord (28x120),1,581.4,557.6,557.6,917.2,1498.6,2245
Planke (48x98),1,1177.1,817.6,817.6,1344.9,2522.0,2906
"Terrasseskrue (4,2x55)",1,4.6,4.5,4.5,7.5,12.0,94
Skrue 5x90,1,6.2,8.0,8.0,13.2,19.4,120
