Produkt,RMSE,MAE,MAPE%
Terrassebord (28x120),408.08,364.04,284.1
Planke (48x98),602.06,519.44,97.4
"Terrasseskrue (4,2x55)",3.41,2.6,128.1
Skrue 5x90,9.56,7.71,280.6
