Produkt,Lager A,Lager B,Utsalg A,Utsalg B,Forbedring
Terrassebord (28x120),475.2,2035.0,15307.1,1410.0,13897.1
Planke (48x98),871.6,2860.2,16615.7,1384.0,15231.7
"Terrasseskrue (4,2x55)",3.7,62.3,123.5,0.0,123.5
Skrue 5x90,5.6,72.6,194.7,1.6,193.1
